Rating,Comment,Review_text
3,Decent product,Loved the ColorGood FinishIt's bulky as far as size n it's physical feel is concerned.Display is very dullAlmost Stock Android makes accesability quite an easy thingCam is great for this price pointSpot Color Pic is a nice add on in camera128 GB with 6 GB ram would have been an icing on cake Battery drains off ridiculously. Software issue looks like.. else poor optimization..90htz refresh is not a gimmick.. it works and helps create a good smooth experience.READ MORE
5,Wonderful,"Overall very nice phone with all the latest feature such as android 11. Three finger screen shot , recorder and etc .battery back up is very good big display compared to other phones .camera is also good. Would recommend to buy this phone because its a budget phone with all feature.READ MORE"
5,Perfect product!,Mobile is very good and performance I gifted my sister on her birthdayShe is very happy thank u moto and also thank u FlipkartREAD MORE
5,Just wow!,"There are options out there that can give you better value for money like Poco, but this is honestly a very good phone as well. If you have price constraints or don't want to shift to other phone brands, this is the Moto phone to get while the prices are still lower. Personally, from a week's usage, I can tell you that it is a great phone from moto. The selling point for gamers would be its 90HZ refresh rate which the G10 doesn't have, & its custom gametime mode that has some functionality. N...READ MORE"
4,Wonderful,"Phone is really good in terms of value. With Micromax In1 in market, this one is not ""real"" value for money, I think. Because the display is just 720p... Motorola could have opted 1080p over 90 hertz display.The processor is really good at snappy and does no lag.The camera indoor is pathetic. If we use the pro mode of the camera, we can get a better results even in indoors. Having said that, Camera works good in daylight.I purchased this phone for my father, and my main requirement for me ...READ MORE"
4,Very Good,Overall a decent mobile to purchase if you are not a heavy user.Camera does a good job though it gives realistic pictures so don't expect them to be extra punchy and colorful.90 hz refresh rate makes the use smoother.Battery lasts long enough to not bother you.And moto unique features are like cherry on the top.You can go for it without even thinking twice.READ MORE
4,Nice product,Camer performance is ok not that wow and not that bad in this budget range good performance.Battery life is also ok if use in battery saver mode battery will.work better All over good phone in range need to work but on camera and batteryREAD MORE
5,Terrific,Every phone will have same features  but I  love Motorola because of its gestures ❤️.It hasgood batteryIt has decent cameraIt has good processing speed and smooth runningOnly thing is it has plastic body...READ MORE
5,Terrific,Best Product According to price in every aspect.I have trust on Moto because I was using Moto G5S Plus till now(used for 3+ years).Love the software experience Moto provides.Would love to see more options from Moto in 15-20k and 20-25k.READ MORE
5,Wonderful,One of my favourite brand... N love to see it's coming up with better features every time ... Specially needed this kind of features in budget oriented phones... Loved it..READ MORE
5,Highly recommended,"Best 👍 for who want a stock android phone lovers..,value for money 💰I love this one..,Everything is cool and clean I like the software.Best software experience and finest finishingThe only thing I don't like is the phone felt like little weight..,And is it really 64megapixel 😆 anywayIts a good stock android budget phone..,Suggestion-- do not buy if u don't like stock android software..,READ MORE"
5,Best smartphone for productivity.,"To be honest, didn't have much expectation with the mid-ranger but I was amazed at how well it is suited for day-to-day work.I just wanted a clean UI, quick and responsive phone. (I upgraded from SD435)The moto glass is lightyears better than a notification light.Moto's little tweaks are way too awesome.READ MORE"
4,Delightful,"Yes, the camera is not the best, the screen could have had some fine tuning, but the fact is, this is a no nonsense phone for the average Joe. I'm happy!Ratings:Design: 4 (The phone rarely looks like it does in the pictures above, more often than not, purple and even shades of green under inflorescent bulbs! But it's still classy.)Camera: 3 (It's there!)Performence: 4 (minor stutters occasionally, nothing worrying)Display: 3.5 (nothing a software update couldn't fix))Ergonomics: 3 ( the...READ MORE"
3,Fair,Pros:1. Smooth Performance And Long-Lasting Battery.2. Stock Android Software Experience.3. High-refresh rate display.4. Good price for valueCons:1. Camera Performance Seems Pretty Average.2. Full Plastic Body which really feels cheap in hand.3. No 4K video recording.4. Max display brightness is pretty weak.READ MORE
3,Good,"Camera is good👍🏻 not osm😮   , battery is poor according 5000mah☹ , display is osmm 🤩and selfie 👌🏻, stock android is osmm🤩. Bright ness is little bit . And osm think is** new advance system is osm🤩  ,, *& according to me its good average phone ,, # if you spend more money then i recommend you buy other one 🙋‍♂️READ MORE"
4,Nice product,"Camera is not as expected eventhough it's not an issue, battery life is good, complete day I used whatsapp and 4g browsing it's taken only 35 percent so battery optimization is very good. And call quality is decent level. User interface is slightly difference from others, even it's hd+ display, it's better including outdoor and nice refresh rate as I am using only auto mode. Also network speed is fine .I feel if need only call and browse as professionally, this is value for money. Did not try...READ MORE"
4,Value-for-money,Battery backup is really good. Good for light users. Worth mobile for this price.Camera is too poor. Looks like 8mp camera .Don't go for it if you are camera lover.And color looks white. Not same with one shown in picture .Otherwise overall it's good.READ MORE
4,Good choice,"Good Quality and smooth ,It's not feel like slim and wait but overall it's good product at 11kREAD MORE"
4,Pretty good,Using Moto for 6+ yrs.  Ideal for normal users at this budget with clean UI.   Same model with 6 GB RAM variant could have made this much better option to choose compare to other brands.READ MORE
5,Brilliant,"Very good Phone for gifting to elders, because of super clean software with no spoofs, a very long lasting battery and super fast and responsive display.Excellent for doing everyday tasks.Not so good for performance tasks,or for camera folksREAD MORE"
5,Classy product,"Moto G30 is overall a budgeted smart phone. Its camera is lagging for 1-2 seconds when u click pic. Also it doesn't have a auto adjustment brightness feature. I had read in other people's comments that display is not upto the mark, but i felt display is nice and smooth. Finishing is awesome and mobile didn't feel heavy also. One can go for it rather than going in MI or realme having short life span.READ MORE"
5,Super!,"Nice build, Doesn't bite your pocket, battery is okay, functional side good, touch screen looks wonderful like a feather touch. More than worth for payedREAD MORE"
5,Highly recommended,Wonderful product of Motorola G30 very best quality and best performance really i am very happy to purchase this product fully satisfied in this prices Very very thank you so much flippant. Com online shopping companies are very best and bileeve for my next shopping programsREAD MORE
2,Not good,Unbiased and genuine opinion. Bought it for my father but disappointed. Lenevo has degraded moto's standard a lot.Camera:Photos have a soft touch with blurred edges. The details doesn't match the standard of a lower budget phone like poco c3 too. Macro camera is useless. Could have used dual camera setup with better hardware atleast.Display:If you use a full hd display phone as a daily driver you can easily spot the blurred adaptive icons of the app drawer. There is no necessity of a 90h...READ MORE
4,Pretty good,"GNon nonsense, decent product for the price, good built quality, value for money & obviously the stock Android experience is always the best with the Nokia or Motorola devices...would have been even better if Motorola had launched the 6-128gb version along with thisREAD MORE"
